2019-03-26 00:35:32 INFO  root:39 - start text parsing
2019-03-26 00:35:32 INFO  root:36 - - start paragraph parsing
2019-03-26 00:35:32 INFO  root:38 -    start sentence parsing
2019-03-26 00:35:32 INFO  root:46 -    add word Autoboxing
2019-03-26 00:35:32 INFO  root:46 -    add word and
2019-03-26 00:35:32 INFO  root:46 -    add word Unboxing
2019-03-26 00:35:32 INFO  root:55 -    end sentence parsing
2019-03-26 00:35:32 INFO  root:47 - - end paragraph parsing
2019-03-26 00:35:32 INFO  root:47 - add paragraph to text
2019-03-26 00:35:32 INFO  root:36 - - start paragraph parsing
2019-03-26 00:35:32 INFO  root:38 -    start sentence parsing
2019-03-26 00:35:32 INFO  root:46 -    add word Autoboxing
2019-03-26 00:35:32 INFO  root:46 -    add word is
2019-03-26 00:35:32 INFO  root:46 -    add word the
2019-03-26 00:35:32 INFO  root:46 -    add word automatic
2019-03-26 00:35:32 INFO  root:46 -    add word conversion
2019-03-26 00:35:32 INFO  root:46 -    add word that
2019-03-26 00:35:32 INFO  root:46 -    add word the
2019-03-26 00:35:32 INFO  root:46 -    add word Java
2019-03-26 00:35:32 INFO  root:46 -    add word compiler
2019-03-26 00:35:32 INFO  root:46 -    add word makes
2019-03-26 00:35:32 INFO  root:46 -    add word between
2019-03-26 00:35:32 INFO  root:46 -    add word the
2019-03-26 00:35:32 INFO  root:46 -    add word primitive
2019-03-26 00:35:32 INFO  root:46 -    add word types
2019-03-26 00:35:32 INFO  root:46 -    add word and
2019-03-26 00:35:32 INFO  root:46 -    add word their
2019-03-26 00:35:32 INFO  root:46 -    add word corresponding
2019-03-26 00:35:32 INFO  root:46 -    add word object
2019-03-26 00:35:32 INFO  root:46 -    add word wrapper
2019-03-26 00:35:32 INFO  root:46 -    add word classes
2019-03-26 00:35:32 INFO  root:49 -    add punctuation sign . 
2019-03-26 00:35:32 INFO  root:55 -    end sentence parsing
2019-03-26 00:35:32 INFO  root:38 -    start sentence parsing
2019-03-26 00:35:32 INFO  root:46 -    add word For
2019-03-26 00:35:32 INFO  root:46 -    add word example
2019-03-26 00:35:32 INFO  root:49 -    add punctuation sign ,
2019-03-26 00:35:32 INFO  root:46 -    add word converting
2019-03-26 00:35:32 INFO  root:46 -    add word an
2019-03-26 00:35:32 INFO  root:46 -    add word int
2019-03-26 00:35:32 INFO  root:46 -    add word to
2019-03-26 00:35:32 INFO  root:46 -    add word an
2019-03-26 00:35:32 INFO  root:46 -    add word Integer
2019-03-26 00:35:32 INFO  root:49 -    add punctuation sign ,
2019-03-26 00:35:32 INFO  root:46 -    add word a
2019-03-26 00:35:32 INFO  root:46 -    add word double
2019-03-26 00:35:32 INFO  root:46 -    add word to
2019-03-26 00:35:32 INFO  root:46 -    add word a
2019-03-26 00:35:32 INFO  root:46 -    add word Double
2019-03-26 00:35:32 INFO  root:49 -    add punctuation sign ,
2019-03-26 00:35:32 INFO  root:46 -    add word and
2019-03-26 00:35:32 INFO  root:46 -    add word so
2019-03-26 00:35:32 INFO  root:46 -    add word on
2019-03-26 00:35:32 INFO  root:49 -    add punctuation sign . 
2019-03-26 00:35:32 INFO  root:55 -    end sentence parsing
2019-03-26 00:35:32 INFO  root:38 -    start sentence parsing
2019-03-26 00:35:32 INFO  root:46 -    add word If
2019-03-26 00:35:32 INFO  root:46 -    add word the
2019-03-26 00:35:32 INFO  root:46 -    add word conversion
2019-03-26 00:35:32 INFO  root:46 -    add word goes
2019-03-26 00:35:32 INFO  root:46 -    add word the
2019-03-26 00:35:32 INFO  root:46 -    add word other
2019-03-26 00:35:32 INFO  root:46 -    add word way
2019-03-26 00:35:32 INFO  root:49 -    add punctuation sign ,
2019-03-26 00:35:32 INFO  root:46 -    add word this
2019-03-26 00:35:32 INFO  root:46 -    add word is
2019-03-26 00:35:32 INFO  root:46 -    add word called
2019-03-26 00:35:32 INFO  root:46 -    add word unboxing
2019-03-26 00:35:32 INFO  root:49 -    add punctuation sign . 
2019-03-26 00:35:32 INFO  root:55 -    end sentence parsing
2019-03-26 00:35:32 INFO  root:38 -    start sentence parsing
2019-03-26 00:35:32 INFO  root:46 -    add word Here
2019-03-26 00:35:32 INFO  root:46 -    add word is
2019-03-26 00:35:32 INFO  root:46 -    add word the
2019-03-26 00:35:32 INFO  root:46 -    add word simplest
2019-03-26 00:35:32 INFO  root:46 -    add word example
2019-03-26 00:35:32 INFO  root:46 -    add word of
2019-03-26 00:35:32 INFO  root:46 -    add word autoboxing
2019-03-26 00:35:32 INFO  root:49 -    add punctuation sign :
2019-03-26 00:35:32 INFO  root:55 -    end sentence parsing
2019-03-26 00:35:32 INFO  root:47 - - end paragraph parsing
2019-03-26 00:35:32 INFO  root:47 - add paragraph to text
2019-03-26 00:35:32 INFO  root:50 - add code block to text     Character ch = 'a';
2019-03-26 00:35:32 INFO  root:36 - - start paragraph parsing
2019-03-26 00:35:32 INFO  root:38 -    start sentence parsing
2019-03-26 00:35:32 INFO  root:46 -    add word The
2019-03-26 00:35:32 INFO  root:46 -    add word rest
2019-03-26 00:35:32 INFO  root:46 -    add word of
2019-03-26 00:35:32 INFO  root:46 -    add word the
2019-03-26 00:35:32 INFO  root:46 -    add word examples
2019-03-26 00:35:32 INFO  root:46 -    add word in
2019-03-26 00:35:32 INFO  root:46 -    add word this
2019-03-26 00:35:32 INFO  root:46 -    add word section
2019-03-26 00:35:32 INFO  root:46 -    add word use
2019-03-26 00:35:32 INFO  root:46 -    add word generics
